CityNormalized,City,SourceNameVariants,YearsObserved,MissingYears,FirstYear,LastYear,ObservationCount
三亚,三亚,三亚,2021|2022|2023,2017|2018|2019|2020|2024,2021,2023,3
三明,三明,三明,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
三门峡,三门峡,三门峡,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
上海,上海,上海,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
上饶,上饶,上饶,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
东莞,东莞,东莞,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
东营,东营,东营,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
中山,中山,中山,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
临汾,临汾,临汾,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
临沂,临沂,临沂,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
临沧,临沧,临沧,2024,2017|2018|2019|2020|2021|2022|2023,2024,2024,1
丽水,丽水,丽水,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
乌兰察布,乌兰察布,乌兰察布,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
乌鲁木齐,乌鲁木齐,乌鲁木齐,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
乐山,乐山,乐山,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
九江,九江,九江,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
云浮,云浮,云浮,2024,2017|2018|2019|2020|2021|2022|2023,2024,2024,1
亳州,亳州,亳州,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
伊犁,伊犁,伊犁,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
佛山,佛山,佛山,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
保定,保定,保定,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
保山,保山,保山,2023|2024,2017|2018|2019|2020|2021|2022,2023,2024,2
信阳,信阳,信阳,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
克拉玛依,克拉玛依,克拉玛依,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
六安,六安,六安,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
六盘水,六盘水,六盘水,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
兰州,兰州,兰州,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
内江,内江,内江,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
凉山,凉山,凉山,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
包头,包头,包头,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
北京,北京,北京,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
北海,北海,北海,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
十堰,十堰,十堰,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
