Year,City,CityNormalized,DEI
2017,上海,上海,83.8
2017,东莞,东莞,68.8
2017,乌鲁木齐,乌鲁木齐,59.8
2017,佛山,佛山,69.8
2017,兰州,兰州,53.2
2017,包头,包头,50.1
2017,北京,北京,83.3
2017,南京,南京,77
2017,南宁,南宁,61.8
2017,南昌,南昌,69.5
2017,厦门,厦门,76.3
2017,合肥,合肥,62.9
2017,呼和浩特,呼和浩特,63.8
2017,哈尔滨,哈尔滨,67.6
2017,唐山,唐山,60.4
2017,大连,大连,68.2
2017,天津,天津,78.1
2017,太原,太原,56.3
2017,宁波,宁波,78.9
2017,广州,广州,83.3
2017,成都,成都,80.4
2017,无锡,无锡,77.1
2017,昆明,昆明,63
2017,杭州,杭州,78.3
2017,武汉,武汉,80
2017,沈阳,沈阳,70.5
2017,泉州,泉州,64.9
2017,济南,济南,73.9
2017,深圳,深圳,84.9
2017,烟台,烟台,63
2017,石家庄,石家庄,58.6
2017,福州,福州,66.3
2017,苏州,苏州,74.9
2017,西安,西安,55.6
2017,贵阳,贵阳,69.6
2017,郑州,郑州,60.6
2017,重庆,重庆,75.4
2017,长春,长春,65.4
2017,长沙,长沙,74.1
2017,青岛,青岛,74.9
2018,上海,上海,89
2018,东莞,东莞,66.5
2018,东营,东营,50.4
2018,中山,中山,55.1
2018,临沂,临沂,43.8
2018,乌鲁木齐,乌鲁木齐,58.1
2018,九江,九江,45.4
2018,佛山,佛山,68.6
2018,保定,保定,35
2018,兰州,兰州,58.1
2018,包头,包头,51.3
2018,北京,北京,87.9
2018,南京,南京,73.4
2018,南宁,南宁,54.9
2018,南昌,南昌,58.5
2018,南通,南通,63.9
2018,厦门,厦门,67.6
2018,台州,台州,57.3
2018,合肥,合肥,64.8
2018,吉林,吉林,35.4
2018,呼和浩特,呼和浩特,54.8
2018,哈尔滨,哈尔滨,55.9
2018,唐山,唐山,57.3
2018,嘉兴,嘉兴,58.9
2018,大庆,大庆,50.4
2018,大连,大连,69.7
2018,天津,天津,69.6
2018,太原,太原,57.3
2018,威海,威海,48.3
2018,宁波,宁波,76.3
2018,宜昌,宜昌,53.1
2018,宝鸡,宝鸡,46.2
2018,岳阳,岳阳,46.3
2018,常州,常州,61.7
2018,平顶山,平顶山,45.1
2018,广州,广州,87.4
2018,开封,开封,52.3
2018,徐州,徐州,55.9
2018,德州,德州,44.1
2018,惠州,惠州,57.8
2018,成都,成都,86.7
